seed,target_factor,layer,source_patch,phase,phase_name,conflict_n,follow,policy_change,outcome_change_mae
16140,concern,2,beneficiary_role,2,protection,382,0.0,0.0,0.0
16140,concern,2,beneficiary_role,3,integrated,180,0.0,0.0,0.0
16140,concern,2,concern_context,0,continuity,0,,0.0,0.0
16140,concern,2,concern_context,1,allocation,0,,0.0,0.0
16140,concern,2,concern_context,2,protection,382,0.0,0.0,0.0
16140,concern,2,concern_context,3,integrated,180,0.0,0.0,0.0
16140,concern,2,entities,0,continuity,0,,0.0,0.0
16140,concern,2,entities,1,allocation,0,,0.0,0.0
16140,concern,2,entities,2,protection,382,0.0,0.0,0.0
16140,concern,2,entities,3,integrated,180,0.0,0.0,0.0
16140,concern,2,phase0,0,continuity,0,,0.0,0.0025335559621453
16140,concern,2,phase0,1,allocation,0,,0.0,0.0
16140,concern,2,phase0,2,protection,382,0.0,0.0,0.0
16140,concern,2,phase0,3,integrated,180,0.0,0.0,0.0
16140,concern,2,phase1,0,continuity,0,,0.0,0.0
16140,concern,2,phase1,1,allocation,0,,0.0,0.0113186920061707
16140,concern,2,phase1,2,protection,382,0.0,0.0,0.0
16140,concern,2,phase1,3,integrated,180,0.0,0.0,0.0
16140,concern,2,phase2,0,continuity,0,,0.0,0.0
16140,concern,2,phase2,1,allocation,0,,0.0,0.0
16140,concern,2,phase2,2,protection,382,1.0,0.764,0.3057659864425659
16140,concern,2,phase2,3,integrated,180,0.0,0.0,0.0
16140,concern,2,phase3,0,continuity,0,,0.0,0.0
16140,concern,2,phase3,1,allocation,0,,0.0,0.0
16140,concern,2,phase3,2,protection,382,0.0,0.0,0.0
16140,concern,2,phase3,3,integrated,180,1.0,0.36,0.3153834342956543
16140,concern,2,all_phases,0,continuity,0,,0.0,0.0025335559621453
16140,concern,2,all_phases,1,allocation,0,,0.0,0.0113186920061707
16140,concern,2,all_phases,2,protection,382,1.0,0.764,0.3057659864425659
16140,concern,2,all_phases,3,integrated,180,1.0,0.36,0.3153834342956543
16141,identity,0,identity_role,0,continuity,112,1.0,0.7466666666666667,0.4979127645492553
16141,identity,0,identity_role,1,allocation,0,,0.0,0.0162639841437339
16141,identity,0,identity_role,2,protection,0,,0.0,0.0129074798896908
16141,identity,0,identity_role,3,integrated,77,1.0,0.5133333333333333,0.0350039489567279
16141,identity,0,beneficiary_role,0,continuity,112,0.0,0.0,0.0
16141,identity,0,beneficiary_role,1,allocation,0,,0.0,0.0
16141,identity,0,beneficiary_role,2,protection,0,,0.0,0.0
16141,identity,0,beneficiary_role,3,integrated,77,0.0,0.0,0.0
16141,identity,0,concern_context,0,continuity,112,0.0,0.0,0.0
16141,identity,0,concern_context,1,allocation,0,,0.0,0.0
16141,identity,0,concern_context,2,protection,0,,0.0,0.0
16141,identity,0,concern_context,3,integrated,77,0.0,0.0,0.0
16141,identity,0,entities,0,continuity,112,0.0,0.0,0.0
16141,identity,0,entities,1,allocation,0,,0.0,0.0
16141,identity,0,entities,2,protection,0,,0.0,0.0
16141,identity,0,entities,3,integrated,77,0.0,0.0,0.0
16141,identity,0,phase0,0,continuity,112,0.0,0.0,0.0
16141,identity,0,phase0,1,allocation,0,,0.0,0.0
16141,identity,0,phase0,2,protection,0,,0.0,0.0
16141,identity,0,phase0,3,integrated,77,0.0,0.0,0.0
16141,identity,0,phase1,0,continuity,112,0.0,0.0,0.0
16141,identity,0,phase1,1,allocation,0,,0.0,0.0
16141,identity,0,phase1,2,protection,0,,0.0,0.0
16141,identity,0,phase1,3,integrated,77,0.0,0.0,0.0
16141,identity,0,phase2,0,continuity,112,0.0,0.0,0.0
16141,identity,0,phase2,1,allocation,0,,0.0,0.0
16141,identity,0,phase2,2,protection,0,,0.0,0.0
16141,identity,0,phase2,3,integrated,77,0.0,0.0,0.0
16141,identity,0,phase3,0,continuity,112,0.0,0.0,0.0
16141,identity,0,phase3,1,allocation,0,,0.0,0.0
