factor,layer,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,mean_outcome_change,total_conflicts
identity,0,0,shuffled_own_plus_phase,0.47522443532943726,0.4270833432674408,0.5105262994766235,0.39800000190734863,0.2543114771445592,1141
identity,0,3,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,723
identity,0,3,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,723
identity,0,3,own_plus_phase,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,0,3,own_role,1.0,1.0,1.0,0.4819999933242798,0.04553210983673731,723
identity,0,3,phase_only,0.0,0.0,0.0,0.0,0.0,723
identity,0,3,random_norm_own_plus_phase,0.1665414199233055,0.06614785641431808,0.270386278629303,0.09466666479905446,0.03362125034133593,723
identity,0,3,shuffled_own_plus_phase,0.48344214757283527,0.41201716661453247,0.5447470545768738,0.24866666893164316,0.03610651257137457,723
identity,1,0,cross_plus_phase,0.33244915803273517,0.0,0.9973474740982056,0.25066665808359784,0.16573910391889513,1141
identity,1,0,entities_plus_phase,1.0,1.0,1.0,0.7606666684150696,0.48582635323206586,1141
identity,1,0,own_plus_phase,0.339464546724533,0.0026041667442768812,1.0,0.25733333608756465,0.16947135546555123,1141
identity,1,0,own_role,0.0008680555814256271,0.0,0.0026041667442768812,0.0013333333966632683,0.0056087008366982145,1141
identity,1,0,phase_only,0.3333333333333333,0.0,1.0,0.2513333360354106,0.16561891705108187,1141
identity,1,0,random_norm_own_plus_phase,0.00884173313776652,0.0,0.02652519941329956,0.027333332768951852,0.0442126365378499,1141
identity,1,0,shuffled_own_plus_phase,0.20658393700917563,0.1302083283662796,0.34217506647109985,0.43933332959810895,0.31796422600746155,1141
identity,1,3,cross_plus_phase,0.5350500742594401,0.0,0.995708167552948,0.2513333261013031,0.030214425176382065,723
identity,1,3,entities_plus_phase,0.9570815563201904,0.8798283338546753,1.0,0.46399999658266705,0.045083753764629364,723
identity,1,3,own_plus_phase,0.572112460853532,0.0038910505827516317,1.0,0.2686666634399444,0.03212553495541215,723
identity,1,3,own_role,0.02561747523335119,0.0,0.07296137511730194,0.013333332957699895,0.009125819895416498,723
