seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16163,identity,3,role_only,229,0.017467249184846878,0.009999999776482582,0,,,0.017569810152053833,0.07874813675880432
16163,identity,3,entities_only,229,0.960698664188385,0.44200000166893005,0,,,0.07734932750463486,0.07874813675880432
16163,identity,3,phase_only,229,0.0,0.0020000000949949026,0,,,0.00198698160238564,0.07874813675880432
16163,identity,3,role_phase,229,0.017467249184846878,0.009999999776482582,0,,,0.017978115007281303,0.07874813675880432
16163,identity,3,entities_phase,229,0.960698664188385,0.44200000166893005,0,,,0.07733701169490814,0.07874813675880432
16163,identity,3,full_relation_coalition,229,0.9868995547294617,0.4519999921321869,0,,,0.07837307453155518,0.07874813675880432
16163,identity,3,shuffled_full,229,0.27947598695755005,0.6800000071525574,0,,,0.30549362301826477,0.07874813675880432
16163,identity,3,random_norm_full,229,0.06986899673938751,0.04600000008940697,0,,,0.054705940186977386,0.07874813675880432
16163,beneficiary,1,role_only,344,0.0,0.0,334,0.559880256652832,0.0008105839369818568,0.000673473346978426,0.14021365344524384
16163,beneficiary,1,entities_only,344,0.9738371968269348,0.6779999732971191,334,0.8742514848709106,0.42305824160575867,0.13979004323482513,0.14021365344524384
16163,beneficiary,1,phase_only,344,0.0,0.0,334,0.488023966550827,-0.0004622602427843958,0.0006638726918026805,0.14021365344524384
16163,beneficiary,1,role_phase,344,0.0,0.0,334,0.544910192489624,0.0003670780570246279,0.0011861223028972745,0.14021365344524384
16163,beneficiary,1,entities_phase,344,0.9738371968269348,0.6779999732971191,334,0.8742514848709106,0.42261600494384766,0.13977749645709991,0.14021365344524384
16163,beneficiary,1,full_relation_coalition,344,0.9767441749572754,0.6800000071525574,334,0.8742514848709106,0.4228305518627167,0.13982073962688446,0.14021365344524384
16163,beneficiary,1,shuffled_full,344,0.40406978130340576,0.5519999861717224,334,0.4341317415237427,-0.6276774406433105,0.2502308189868927,0.14021365344524384
16163,beneficiary,1,random_norm_full,344,0.029069768264889717,0.05400000140070915,334,0.5508981943130493,-0.010244975797832012,0.03531439229846001,0.14021365344524384
16163,beneficiary,3,role_only,261,0.007662835065275431,0.004000000189989805,0,,,0.0056175002828240395,0.09500894695520401
16163,beneficiary,3,entities_only,261,0.977011501789093,0.5099999904632568,0,,,0.0961836501955986,0.09500894695520401
16163,beneficiary,3,phase_only,261,0.0,0.0,0,,,0.0008407015120610595,0.09500894695520401
16163,beneficiary,3,role_phase,261,0.007662835065275431,0.004000000189989805,0,,,0.006042527966201305,0.09500894695520401
16163,beneficiary,3,entities_phase,261,0.977011501789093,0.5099999904632568,0,,,0.09610569477081299,0.09500894695520401
16163,beneficiary,3,full_relation_coalition,261,1.0,0.5220000147819519,0,,,0.09567822515964508,0.09500894695520401
16163,beneficiary,3,shuffled_full,261,0.25287356972694397,0.6880000233650208,0,,,0.30461451411247253,0.09500894695520401
16163,beneficiary,3,random_norm_full,261,0.04214559495449066,0.04600000008940697,0,,,0.05615538731217384,0.09500894695520401
16163,concern,2,role_only,393,0.0,0.0,374,0.6229946613311768,0.004656264558434486,0.005555685609579086,0.24256031215190887
16163,concern,2,entities_only,393,0.0,0.0,374,0.4572192430496216,-4.277350399206625e-06,0.00019803864415735006,0.24256031215190887
16163,concern,2,phase_only,393,1.0,0.7860000133514404,374,0.9759358167648315,0.7112398743629456,0.24057963490486145,0.24256031215190887
16163,concern,2,role_phase,393,1.0,0.7860000133514404,374,0.9759358167648315,0.7084346413612366,0.24156364798545837,0.24256031215190887
16163,concern,2,entities_phase,393,1.0,0.7860000133514404,374,0.9759358167648315,0.711107611656189,0.24060632288455963,0.24256031215190887
16163,concern,2,full_relation_coalition,393,1.0,0.7860000133514404,374,0.9759358167648315,0.7083407044410706,0.2415868490934372,0.24256031215190887
16163,concern,2,shuffled_full,393,0.36132314801216125,0.5580000281333923,374,0.5080214142799377,-0.6202232837677002,0.3223736584186554,0.24256031215190887
16163,concern,2,random_norm_full,393,0.04325699806213379,0.09600000083446503,374,0.5668449401855469,-0.08028393238782883,0.14628754556179047,0.24256031215190887
16163,concern,3,role_only,155,0.0,0.0,374,0.5026738047599792,-0.00029005820397287607,0.001408115029335022,0.23158282041549683
16163,concern,3,entities_only,155,0.0,0.0,374,0.3903743326663971,0.00052607711404562,0.0014826244441792369,0.23158282041549683
16163,concern,3,phase_only,155,0.06451612710952759,0.029999999329447746,374,0.1871657818555832,-0.06090228259563446,0.011744922958314419,0.23158282041549683
16163,concern,3,role_phase,155,0.07096774131059647,0.03200000151991844,374,0.24598930776119232,-0.0612088181078434,0.01226790715008974,0.23158282041549683
16163,concern,3,entities_phase,155,0.07096774131059647,0.03200000151991844,374,0.24064171314239502,-0.06138984113931656,0.012157496064901352,0.23158282041549683
16163,concern,3,full_relation_coalition,155,0.07741935551166534,0.03400000184774399,374,0.2700534760951996,-0.061707716435194016,0.012691063806414604,0.23158282041549683
16163,concern,3,shuffled_full,155,0.25161290168762207,0.6520000100135803,374,0.3449198007583618,-1.1880325078964233,0.2782268822193146,0.23158282041549683
16163,concern,3,random_norm_full,155,0.006451612804085016,0.009999999776482582,374,0.46524062752723694,-0.01881932094693184,0.009349409490823746,0.23158282041549683
16164,identity,0,role_only,386,0.0,0.0,386,0.5129533410072327,1.7209837096743286e-05,0.0011544647859409451,0.49600690603256226
16164,identity,0,entities_only,386,1.0,0.7720000147819519,386,1.0,0.9755226373672485,0.4960156977176666,0.49600690603256226
16164,identity,0,phase_only,386,0.0,0.0,386,0.47668394446372986,-2.5533641746733338e-05,0.00035880287759937346,0.49600690603256226
16164,identity,0,role_phase,386,0.0,0.0,386,0.49740931391716003,-1.8012647160503548e-06,0.0012555160792544484,0.49600690603256226
16164,identity,0,entities_phase,386,1.0,0.7720000147819519,386,1.0,0.9754611253738403,0.49602648615837097,0.49600690603256226
16164,identity,0,full_relation_coalition,386,1.0,0.7720000147819519,386,1.0,0.9754839539527893,0.4959809482097626,0.49600690603256226
16164,identity,0,shuffled_full,386,0.3497409224510193,0.6399999856948853,386,0.6502590775489807,0.24444912374019623,0.3966074585914612,0.49600690603256226
16164,identity,0,random_norm_full,386,0.018134715035557747,0.02199999988079071,386,0.6243523359298706,0.03524712473154068,0.02968440391123295,0.49600690603256226
16164,identity,3,role_only,227,0.0,0.0,0,,,0.001293163513764739,0.048881858587265015
